,Argyranthemum frutescens,Ceropegia fusca,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia lamarckii,Frankenia laevis,Helianthemum canariensis,Launaea arborescens,Lavendula multifida,Lotus sessilifolius,Lycium intricatum,Periploca laevigata,Plocama pendula,Satureja kuegleri,Schizogyne sericea,Fagonia albiflora
Oxyopes cf. kraepelinorum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagiolepis schmitzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Platypalpus sp. 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pteromalus sp. 4 ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sciaridae sp. 1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
Sibinia sericea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Syritta pipiens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torymoides lindbergi,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Trixoscelis sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
