,Argyranthemum frutescens,Ceballosia fruticosa,Euphorbia balsamifera (f),Euphorbia balsamifera (m),Euphorbia lamarckii,Fagonia albiflora,Launaea arborescens,Lycium intricatum,Nauplius aquaticus,Neochamaelea pulverulenta,Periploca laevigata,Rubia fruticosa,Schizogyne sericea,Asphaltklee bituminosa,Ceropegia dichotoma,Frankenia laevis,Kickxia scoparia,Lavendula buchii,Parolinia intermedia
Thysanoptera sp. 2,15,0,0,0,0,45,0,0,21,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 7,48,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
Agromyzidae? sp. 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amegilla quadrifasciata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Anthophora orotavae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Bassus sp.,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratogoponidae sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chetogena acuminata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chironomidae sp.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloropidae sp. 5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Coccinella miranda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crematogaster alluaudi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasytes cf. subaenescens,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Eristalis tenax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucera gracilipes,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
Euderus sp.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eumerus nivariae,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylaeus ater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Megaselia sp. 2,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Minotetrastichus sp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myathropa florea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neodryophilus cryptophagoides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Platypalpus sp.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scenopinus sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thysanoptera sp. 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Urelliosoma guimari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
